anomaly_label,anomaly_score
0,-0.5970288720767533
1,-0.6129544236740191
1,-0.6181324871662216
0,-0.5775318823821247
1,-0.6222633578090062
0,-0.58583509288395
1,-0.6272333402317727
1,-0.6272333402317727
1,-0.6696633390557779
0,-0.5832066250371344
0,-0.5280456786079666
0,-0.5160396319361032
0,-0.5319740126046988
0,-0.49944305529366345
0,-0.5588185905093476
0,-0.5621877719917516
0,-0.5124175438581102
0,-0.548299774663108
0,-0.5257481388190843
0,-0.5751092164574093
0,-0.5243599844749282
0,-0.5625239402805047
0,-0.5411742540218492
0,-0.5611355843312414
0,-0.5765382125133802
0,-0.5133782080344137
0,-0.575799005803301
0,-0.5790832662939617
0,-0.5786780017234511
0,-0.5761875102301112
1,-0.6037809134225008
0,-0.5692466636362445
0,-0.565753980797847
1,-0.6119294726939583
0,-0.5636206801718769
0,-0.5382160931626855
0,-0.552790106860047
0,-0.574637838517083
0,-0.5943355054912034
0,-0.5855180114019403
0,-0.5651480982563339
0,-0.5558718928409003
0,-0.555748372768773
1,-0.6141186307463089
1,-0.6141186307463089
0,-0.583634533659805
0,-0.547548913664596
0,-0.5835506284775335
0,-0.5682244614344283
0,-0.5514240846638475
0,-0.5921304274411956
1,-0.597465877424993
1,-0.6774920134419372
0,-0.5349624094453082
0,-0.577895480052711
0,-0.5834510894308782
0,-0.5577327919476138
0,-0.5283958603941117
0,-0.5457587065896758
0,-0.5280673919472456
0,-0.5585127786049746
0,-0.5838837988957299
0,-0.5879291510366039
0,-0.5641324824194855
1,-0.5980676388171207
0,-0.5876420421611653
1,-0.5996535291464417
0,-0.5946313065010413
0,-0.5607078029610814
0,-0.5834124684156035
0,-0.5606654308299274
0,-0.5503054068752007
1,-0.6668168804669796
0,-0.558585804698465
0,-0.5387006627683618
0,-0.5728707995513118
0,-0.560314439722128
0,-0.5336589656659606
0,-0.5347432647858656
0,-0.5676641729106933
1,-0.6724639437232118
0,-0.5060658349950221
0,-0.5598660672312662
0,-0.546227854126349
0,-0.573065270148079
0,-0.5402470713144358
0,-0.5737612034416385
0,-0.5302601052028018
0,-0.539881671165536
1,-0.6530307740578768
0,-0.5221516545685596
0,-0.5531230252972636
0,-0.5230233060127404
0,-0.5614731620471874
1,-0.5999499400997155
0,-0.5623123439198604
0,-0.5497456924069883
0,-0.5425359387036457
1,-0.659310105072061
0,-0.5140526668895989
0,-0.5508975891769736
0,-0.48403567636491096
0,-0.5375375122254157
0,-0.5102555912217999
1,-0.6565469168132998
1,-0.6497692397254309
0,-0.4916459039166372
0,-0.5273985596441908
0,-0.5376221230157003
0,-0.5656832288108328
0,-0.49565341674908237
0,-0.5612462333578514
0,-0.5217713626968821
0,-0.5329293314428026
0,-0.4825264912174172
0,-0.46899843274020203
0,-0.5260726158867384
0,-0.5537017130236852
0,-0.5404641522103788
0,-0.541700815602564
0,-0.5012651345772121
0,-0.5439125413480757
1,-0.6302026318191828
0,-0.5338797747184484
1,-0.6448998211974952
